beat_id,is_complete_beat,beat_quality_reason,psv_local,psv_global,psv_value_px,next_psv_local,next_psv_global,first_valley_local,first_valley_global,first_valley_value_px,secondary_peak_local,secondary_peak_global,secondary_peak_value_px,cycle_length_px,time_to_valley_px,time_to_secondary_peak_px,valley_to_psv_ratio,secondary_to_psv_ratio,ri_proxy,recording_name,audio_beat_id,audio_beat_time_s,frame_time_s,frame_index,frame_path,extraction_baseline,extraction_direction,n_frame_peaks,slope_cm_s_per_px,baseline_y_global,calibration_status,cm_s_per_px,psv_cm_s,edv_proxy_cm_s,secondary_peak_cm_s,ri_calibrated
1,False,valley_too_late;missing_secondary_peak,56,66,103.30467473030245,225,235,207,217,9.98936907486104,,,,169,151,,0.09669813201522863,,0.9033018679847713,candidate_2,2,1.4026666666666667,1.4,42,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0002_t1.403s_frame_000042.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.70409564076567,2.1954436375571356,,0.9033018679847713
2,False,valley_too_late;missing_secondary_peak,225,235,104.97025171624563,387,397,349,359,11.930218246993896,,,,162,124,,0.11365332607988332,,0.8863466739201168,candidate_2,2,1.4026666666666667,1.4,42,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0002_t1.403s_frame_000042.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.07015283309154,2.621999602652097,,0.8863466739201167
1,False,valley_too_late;missing_secondary_peak,56,66,103.30467473030245,225,235,207,217,9.98936907486104,,,,169,151,,0.09669813201522863,,0.9033018679847713,candidate_2,3,2.3733333333333335,2.3666666666666667,71,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0003_t2.373s_frame_000071.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.70409564076567,2.1954436375571356,,0.9033018679847713
2,False,valley_too_late;missing_secondary_peak,225,235,104.97025171624563,387,397,349,359,11.930218246993896,,,,162,124,,0.11365332607988332,,0.8863466739201168,candidate_2,3,2.3733333333333335,2.3666666666666667,71,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0003_t2.373s_frame_000071.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.07015283309154,2.621999602652097,,0.8863466739201167
1,False,valley_too_late;missing_secondary_peak,56,66,103.30467473030245,225,235,207,217,9.98936907486104,,,,169,151,,0.09669813201522863,,0.9033018679847713,candidate_2,4,3.3493333333333335,3.3333333333333335,100,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0004_t3.349s_frame_000100.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.70409564076567,2.1954436375571356,,0.9033018679847713
2,False,valley_too_late;missing_secondary_peak,225,235,104.97025171624563,387,397,349,359,11.930218246993896,,,,162,124,,0.11365332607988332,,0.8863466739201168,candidate_2,4,3.3493333333333335,3.3333333333333335,100,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0004_t3.349s_frame_000100.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.07015283309154,2.621999602652097,,0.8863466739201167
1,False,valley_too_late;missing_secondary_peak,88,98,104.69009480222142,251,261,211,221,11.962124691168462,,,,163,123,,0.11426223955348484,,0.8857377604465152,candidate_2,5,4.298666666666667,4.3,129,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0005_t4.299s_frame_000129.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.00858050456882,2.6290119373986833,,0.8857377604465152
2,True,ok,251,261,105.43085975808931,412,422,292,302,12.36862222445726,307.0,317.0,20.1966791928836,161,41,56.0,0.11731500864962133,0.19156325993380685,0.8826849913503787,candidate_2,5,4.298666666666667,4.3,129,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0005_t4.299s_frame_000129.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.171384351047788,2.7183511555668716,4.438785923465912,0.8826849913503787
1,True,ok,95,105,105.56750572082223,256,266,136,146,12.36568008650368,151.0,161.0,20.115280042834563,161,41,56.0,0.11713528705703485,0.19054423902019887,0.8828647129429651,candidate_2,6,5.237333333333333,5.233333333333333,157,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0006_t5.237s_frame_000157.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.201416128553618,2.717704538347846,4.420896180406218,0.8828647129429652
2,False,valley_too_late;missing_secondary_peak,256,266,109.0196142530223,414,424,397,407,9.799026551886993,,,,158,141,,0.08988315193580258,,0.9101168480641973,candidate_2,6,5.237333333333333,5.233333333333333,157,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0006_t5.237s_frame_000157.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.960113665543037,2.1536105369991048,,0.9101168480641975
1,False,valley_too_late;missing_secondary_peak,102,112,111.02974828375118,259,269,243,253,10.250884127314398,,,,157,141,,0.09232556396612655,,0.9076744360338735,candidate_2,7,6.176,6.166666666666667,185,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0007_t6.176s_frame_000185.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,24.401896918852476,2.2529188948763403,,0.9076744360338734
2,False,missing_secondary_peak,259,269,107.24681268388214,416,426,348,358,12.133917798448508,,,,157,89,,0.11314012505167982,,0.8868598749483202,candidate_2,7,6.176,6.166666666666667,185,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0007_t6.176s_frame_000185.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.570490867901615,2.666768284323866,,0.8868598749483202
1,False,missing_secondary_peak,98,108,106.55933311539573,256,266,186,196,12.125703587030634,,,,158,88,,0.1137929755425497,,0.8862070244574504,candidate_2,8,7.125333333333334,7.133333333333334,214,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0008_t7.125s_frame_000214.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.419397977722763,2.6649629813002442,,0.8862070244574503
2,False,valley_too_late;missing_secondary_peak,256,266,110.71624713958647,412,422,393,403,10.365759118292617,,,,156,137,,0.09362455272913917,,0.9063754472708608,candidate_2,8,7.125333333333334,7.133333333333334,214,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0008_t7.125s_frame_000214.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,24.332996261847484,2.278165891575286,,0.906375447270861
1,False,valley_too_late;missing_secondary_peak,95,105,109.68878718535309,251,261,232,242,9.548358473824317,,,,156,137,,0.0870495400563543,,0.9129504599436457,candidate_2,9,8.085333333333333,8.1,243,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0009_t8.085s_frame_000243.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,24.1071831596924,2.0985192061055136,,0.9129504599436457
2,False,valley_too_late;missing_secondary_peak,251,261,106.76757110166567,409,419,390,400,11.043190585158513,,,,158,139,,0.10343206716431737,,0.8965679328356826,candidate_2,9,8.085333333333333,8.1,243,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0009_t8.085s_frame_000243.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.465164107558184,2.4270504299946873,,0.8965679328356827
1,False,valley_too_late;missing_secondary_peak,95,105,107.69892121608213,253,263,234,244,10.686218652220582,,,,158,139,,0.09922307978164653,,0.9007769202183535,candidate_2,10,9.034666666666666,9.033333333333333,271,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0010_t9.035s_frame_000271.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.66985438055845,2.348595849622107,,0.9007769202183534
2,False,valley_too_late;missing_secondary_peak,253,263,106.941811049361,413,423,394,404,9.649885583524004,,,,160,141,,0.09023491830589926,,0.9097650816941006,candidate_2,10,9.034666666666666,9.033333333333333,271,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0010_t9.035s_frame_000271.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.503458216196,2.120832632044563,,0.9097650816941006
1,False,valley_too_late;missing_secondary_peak,97,107,108.25237005557224,257,267,239,249,9.569467146126165,,,,160,142,,0.08839960862947943,,0.9116003913705206,candidate_2,11,9.973333333333333,9.966666666666667,299,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0011_t9.973s_frame_000299.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.791490264092854,2.1031584280578786,,0.9116003913705206
2,False,valley_too_late;missing_secondary_peak,257,267,115.3344230140553,415,425,386,396,12.756905851585296,,,,158,129,,0.11060796523888335,,0.8893920347611166,candidate_2,11,9.973333333333333,9.966666666666667,299,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0011_t9.973s_frame_000299.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,25.34796975664385,2.803687357719129,,0.8893920347611167
1,False,valley_too_late;missing_secondary_peak,101,111,115.3592677345522,259,269,230,240,12.739253023863819,,,,158,129,,0.11043111900794582,,0.8895688809920541,candidate_2,12,10.890666666666666,10.9,327,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0012_t10.891s_frame_000327.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,25.35343007982673,2.799807654404979,,0.8895688809920541
2,False,valley_too_late;missing_secondary_peak,259,269,104.32298136645814,416,426,397,407,12.466165413533826,,,,157,138,,0.11949586994397325,,0.8805041300560267,candidate_2,12,10.890666666666666,10.9,327,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0012_t10.891s_frame_000327.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.92789704490603,2.7397890033668997,,0.8805041300560268
1,False,missing_secondary_peak,110,120,104.08630271330344,266,276,183,193,12.78653154625674,,,,156,73,,0.12284547738693452,,0.8771545226130655,candidate_2,13,11.813333333333333,11.8,354,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0013_t11.813s_frame_000354.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.875880281953332,2.8101984338829196,,0.8771545226130655
2,False,valley_too_late;missing_secondary_peak,266,276,102.07813010787689,419,429,401,411,9.974174566851955,,,,153,135,,0.09771118021373607,,0.902288819786264,candidate_2,13,11.813333333333333,11.8,354,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0013_t11.813s_frame_000354.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.434528106789898,2.1921042188526747,,0.902288819786264
1,False,valley_too_late;missing_secondary_peak,110,120,102.2010460934931,263,273,245,255,9.971232428898375,,,,153,135,,0.09756487638861086,,0.9024351236113891,candidate_2,14,12.72,12.733333333333333,382,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0014_t12.720s_frame_000382.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.461542337273613,2.1914576016336493,,0.9024351236113891
2,False,valley_too_late;missing_secondary_peak,263,273,108.18273945733743,417,427,398,408,10.958156260215766,,,,154,135,,0.10129301878639509,,0.8987069812136048,candidate_2,14,12.72,12.733333333333333,382,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0014_t12.720s_frame_000382.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.776186989909238,2.4083617554377192,,0.8987069812136048
1,False,valley_too_late;missing_secondary_peak,119,129,108.64269369074705,273,283,254,264,11.056554429552149,,,,154,135,,0.10176988487624199,,0.898230115123758,candidate_2,15,13.616,13.6,408,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0015_t13.616s_frame_000408.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,23.877274815150162,2.429987509096224,,0.8982301151237579
2,False,valley_too_late;missing_secondary_peak,273,283,100.56685191238815,425,435,407,417,12.62406015037591,,,,152,134,,0.12552903775265573,,0.8744709622473442,candidate_2,15,13.616,13.6,408,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0015_t13.616s_frame_000408.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.102382395284014,2.7744907941212404,,0.8744709622473442
1,False,valley_too_late;missing_secondary_peak,129,139,101.71036286367939,280,290,263,273,12.04351788562315,,,,151,134,,0.11840993922875749,,0.8815900607712426,candidate_2,16,14.48,14.466666666666667,434,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0016_t14.480s_frame_000434.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.353700954411753,2.646900371549714,,0.8815900607712425
2,False,valley_too_late;missing_secondary_peak,280,290,99.67505720823657,430,440,411,421,11.444360902255655,,,,150,131,,0.11481669760516536,,0.8851833023948347,candidate_2,16,14.48,14.466666666666667,434,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0016_t14.480s_frame_000434.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.90638553156177,2.5152188431994973,,0.8851833023948346
1,False,valley_too_late;missing_secondary_peak,135,145,100.37593984962263,284,294,265,275,11.02992989720677,,,,149,130,,0.10988619298340985,,0.8901138070165902,candidate_2,17,15.344,15.333333333333334,460,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0017_t15.344s_frame_000460.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.060424122405074,2.4241360224104738,,0.8901138070165903
2,False,valley_too_late;missing_secondary_peak,284,294,103.75514874141723,427,437,409,419,12.260297482837503,,,,143,125,,0.11816567786330402,,0.881834322136696,candidate_2,17,15.344,15.333333333333334,460,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0017_t15.344s_frame_000460.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.803099921634182,2.6945437596245583,,0.881834322136696
1,False,valley_too_late;missing_secondary_peak,140,150,103.61752206603312,283,293,265,275,13.824307144673227,,,,143,125,,0.13341669313287868,,0.8665833068671213,candidate_2,18,16.202666666666666,16.2,486,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0018_t16.203s_frame_000486.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.77285260505534,3.038278687768946,,0.8665833068671214
2,False,valley_too_late;missing_secondary_peak,283,293,102.61686825759908,428,438,409,419,13.400130761686771,,,,145,126,,0.13058409391376502,,0.869415906086235,candidate_2,18,16.202666666666666,16.2,486,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0018_t16.203s_frame_000486.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.552930904229168,2.945054047228515,,0.8694159060862351
1,False,valley_too_late;missing_secondary_peak,138,148,102.41386073880206,283,293,264,274,13.167048054919853,,,,145,126,,0.12856705098249643,,0.8714329490175037,candidate_2,19,17.072,17.066666666666666,512,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0019_t17.072s_frame_000512.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.508314316116433,2.893827594210195,,0.8714329490175037
2,False,valley_too_late;missing_secondary_peak,283,293,103.64923177508838,425,435,407,417,13.545930042497478,,,,142,124,,0.13069011521369694,,0.8693098847863031,candidate_2,19,17.072,17.066666666666666,512,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0019_t17.072s_frame_000512.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.779821701749285,2.9770975227490877,,0.8693098847863031
1,False,valley_too_late;missing_secondary_peak,139,149,103.24517816279679,281,291,263,273,14.229486760379105,,,,142,124,,0.13782228878468375,,0.8621777112153163,candidate_2,20,17.946666666666665,17.933333333333334,538,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0020_t17.947s_frame_000538.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,22.69101960366984,3.1273282566359053,,0.8621777112153162
2,False,valley_too_late;missing_secondary_peak,281,291,99.78195488721667,428,438,409,419,13.64988558352394,,,,147,128,,0.13679713530319562,,0.8632028646968044,candidate_2,20,17.946666666666665,17.933333333333334,538,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0020_t17.947s_frame_000538.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.92987929051969,2.9999446644879697,,0.8632028646968044
1,False,valley_too_late;missing_secondary_peak,137,147,100.08434128800116,283,293,265,275,13.905851585485419,,,,146,128,,0.13894133094676772,,0.8610586690532323,candidate_2,21,18.816,18.8,564,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0021_t18.816s_frame_000564.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.996337171363916,3.0562003625431626,,0.8610586690532323
2,False,valley_too_late;missing_secondary_peak,283,293,94.90912062765472,428,438,410,420,12.457012095455983,,,,145,127,,0.13125200205285906,,0.868747997947141,candidate_2,21,18.816,18.8,564,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0021_t18.816s_frame_000564.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,20.85893748309883,2.737777305352146,,0.868747997947141
1,False,valley_too_late;missing_secondary_peak,138,148,94.88787185354559,284,294,266,276,12.36482510624383,,,,146,128,,0.1303098579903687,,0.8696901420096314,candidate_2,22,19.68,19.666666666666668,590,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0022_t19.680s_frame_000590.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,20.85426746985033,2.717516632489362,,0.8696901420096314
2,False,valley_too_late;missing_secondary_peak,284,294,99.79993461915512,427,437,402,412,16.145799280810497,,,,143,118,,0.16178166190613463,,0.8382183380938654,candidate_2,22,19.68,19.666666666666668,590,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0022_t19.680s_frame_000590.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.93383084019149,3.5484916052942093,,0.8382183380938654
1,False,valley_too_late;missing_secondary_peak,139,149,99.27590715920091,282,292,264,274,14.448367295049167,,,,143,125,,0.14553749956552361,,0.8544625004344764,candidate_2,23,20.549333333333333,20.533333333333335,616,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0023_t20.549s_frame_000616.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.818661128847364,3.1754333845599305,,0.8544625004344764
2,False,valley_too_late;missing_secondary_peak,282,292,95.65021248773974,426,436,407,417,10.493952271984256,,,,144,125,,0.10971175075360497,,0.890288249246395,candidate_2,23,20.549333333333333,20.533333333333335,616,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0023_t20.549s_frame_000616.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.021813175935485,2.306339927547083,,0.890288249246395
1,False,valley_too_late;missing_secondary_peak,132,142,96.38934292252232,276,286,258,268,10.580091533180772,,,,144,126,,0.10976412134778263,,0.8902358786522173,candidate_2,24,21.429333333333332,21.433333333333334,643,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0024_t21.429s_frame_000643.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.184257790626113,2.325271442792994,,0.8902358786522173
2,False,valley_too_late;missing_secondary_peak,276,286,98.85714285714145,422,432,403,413,11.059905197776999,,,,146,127,,0.11187765373474001,,0.88812234626526,candidate_2,24,21.429333333333332,21.433333333333334,643,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0024_t21.429s_frame_000643.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.726625944672804,2.4307239342623226,,0.8881223462652601
1,False,valley_too_late;missing_secondary_peak,138,148,98.74207257273476,284,294,265,275,11.059905197776999,,,,146,127,,0.11200803172963705,,0.887991968270363,candidate_2,25,22.272,22.266666666666666,668,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0025_t22.272s_frame_000668.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.70133602677315,2.4307239342623226,,0.887991968270363
2,False,valley_too_late;missing_secondary_peak,284,294,97.25858123569654,429,439,410,420,10.200528495150905,,,,145,126,,0.10488049862079454,,0.8951195013792055,candidate_2,25,22.272,22.266666666666666,668,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0025_t22.272s_frame_000668.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.37529725566918,2.241851834342285,,0.8951195013792055
1,False,valley_too_late;missing_secondary_peak,145,155,97.45766590388877,289,299,271,281,10.37103628636807,,,,144,126,,0.10641580824022427,,0.8935841917597758,candidate_2,26,23.098666666666666,23.1,693,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0026_t23.099s_frame_000693.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.41905168748988,2.279325697063375,,0.8935841917597758
2,False,valley_too_late;missing_secondary_peak,289,299,98.11539718862235,430,440,412,422,11.193854200719212,,,,141,123,,0.1140886601029555,,0.8859113398970444,candidate_2,26,23.098666666666666,23.1,693,D:\code\DopplerLab\beat_frames\candidate_2\candidate_2_beat_0026_t23.099s_frame_000693.png,146,above,3,-0.21977800811085518,376.0,PASS,0.21977800811085518,21.56360655912082,2.4601629793173974,,0.8859113398970446
